Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,20.320000,20.330000,19.959999,20.240000,20.240000,1504400
2021-05-05,20.260000,20.330000,20.080000,20.150000,20.150000,686800
2021-05-06,20.110001,20.250000,19.959999,20.240000,20.240000,1129200
2021-05-07,20.200001,20.510000,20.180000,20.440001,20.440001,643000
2021-05-10,20.320000,20.370001,19.879999,19.900000,19.900000,968900
2021-05-11,19.180000,19.840000,19.150000,19.760000,19.760000,1007000
2021-05-12,19.500000,19.680000,19.180000,19.190001,19.190001,703200
2021-05-13,19.260000,19.569000,19.150000,19.320000,19.320000,769300
2021-05-14,19.500000,19.770000,19.412001,19.750000,19.750000,377100
2021-05-17,19.600000,19.670000,19.459999,19.670000,19.670000,547600
2021-05-18,19.719999,19.889999,19.629999,19.650000,19.650000,363300
2021-05-19,19.252001,19.549999,19.120001,19.549999,19.549999,489000
2021-05-20,19.690001,19.868000,19.645000,19.809999,19.809999,383700
2021-05-21,19.959999,20.035000,19.809999,19.860001,19.860001,348500
2021-05-24,20.000000,20.129999,19.921000,20.059999,20.059999,370200
2021-05-25,20.200001,20.290001,20.059999,20.129999,20.129999,306600
2021-05-26,20.200001,20.219999,20.120001,20.190001,20.190001,485400
2021-05-27,20.270000,20.379999,20.254999,20.370001,20.370001,534400
2021-05-28,20.370001,20.490000,20.360001,20.389999,20.389999,402400
2021-06-01,20.559999,20.740000,20.559999,20.650000,20.650000,469300
2021-06-02,20.620001,20.684999,20.610001,20.680000,20.680000,306700
2021-06-03,20.450001,20.610001,20.389999,20.530001,20.530001,365900
2021-06-04,20.650000,20.809999,20.600000,20.770000,20.770000,432800
2021-06-07,20.750000,20.760000,20.610001,20.719999,20.719999,374500
2021-06-08,20.730000,20.799999,20.570000,20.709999,20.709999,705700
2021-06-09,20.719999,20.770000,20.549999,20.559999,20.559999,297500
2021-06-10,20.610001,20.670000,20.510000,20.629999,20.629999,249700
2021-06-11,20.650000,20.750000,20.549999,20.620001,20.620001,278600
2021-06-14,20.660000,20.680000,20.555000,20.680000,20.680000,381700
2021-06-15,20.690001,20.690001,20.549999,20.590000,20.590000,298900
2021-06-16,20.549999,20.600000,20.299999,20.450001,20.450001,458700
2021-06-17,20.469999,20.620001,20.320000,20.600000,20.600000,331900
2021-06-18,20.459999,20.540001,20.290001,20.370001,20.370001,327500
2021-06-21,20.500000,20.719999,20.440001,20.715000,20.715000,478800
2021-06-22,20.740000,20.830000,20.610001,20.780001,20.780001,405500
2021-06-23,20.830000,20.889999,20.780001,20.830000,20.830000,450700
2021-06-24,20.889999,21.049999,20.889999,21.049999,21.049999,437100
2021-06-25,21.139999,21.180000,21.049999,21.139999,21.139999,534100
2021-06-28,21.250000,21.250000,21.049999,21.160000,21.160000,525500
